numTreatments,instCode,name,type,journals,dois,country,country_name,region
9,LBV,CENAREST,HERBARIUM,PhytoKeys,10.3897/phytokeys.69.9292;10.3897/phytokeys.68.9576;10.3897/phytokeys.61.7017,GA,Gabon,GS
9,SRGH,Botanic Garden,HERBARIUM,PhytoKeys,10.3897/phytokeys.69.9292;10.3897/phytokeys.133.38694,ZW,Zimbabwe,GS
9,LMA,Institute for Agricultural Research of Mozambique,HERBARIUM,PhytoKeys,10.3897/phytokeys.69.9292;10.3897/phytokeys.133.38694,MZ,Mozambique,GS
9,CUM,,,ZooKeys,10.3897/zookeys.755.23939,,,
9,CBM,"Natural History Museum and Institute, Chiba",HERBARIUM,ZooKeys,10.3897/zookeys.752.23712,JP,Japan,GN
9,ISEA,,,ZooKeys,10.3897/zookeys.876.36743;10.3897/zookeys.662.11267;10.3897/zookeys.620.9372,,,
9,CESP,,,ZooKeys,10.3897/zookeys.1001.58447,,,
9,KUEC,Kyushu University Entomology Collection,,ZooKeys,10.3897/zookeys.820.31618,JP,Japan,GN
9,FGMRI,,,ZooKeys,10.3897/zookeys.806.21916,,,
9,MIUP,,,Journal of Hymenoptera Research,10.3897/jhr.71.35754,,,
9,IESNU,,,ZooKeys,10.3897/zookeys.764.22736;10.3897/zookeys.693.12965;10.3897/zookeys.657.9153;10.3897/zookeys.598.7983,,,
9,CHSM,,,ZooKeys,10.3897/zookeys.1001.58447,,,
9,"Natural History Museum, London",,,ZooKeys,10.3897/zookeys.593.8511,,,
9,AFC,,,ZooKeys,10.3897/zookeys.573.7830;10.3897/zookeys.573.7016,,,
9,MZUB,Museo di Zoologia,,ZooKeys,10.3897/zookeys.1010.58759,IT,Italy,GN
8,NHML,"Natural History Museum, Tripoli",,ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/zookeys.833.32413;10.3897/zookeys.788.26282;10.3897/dez.63.10799,LY,Libya,GS
8,ASCU,Agricultural Scientific Collections Unit,MUSEUM,ZooKeys,10.3897/zookeys.818.32061,AU,Australia,GN
8,BNHS,Bombay Natural History Society,,ZooKeys;Zoosystematics and Evolution;Evolutionary Systematics,10.3897/zookeys.892.39524;10.3897/zookeys.577.7848;10.3897/zse.96.48431;10.3897/evolsyst.5.61667;10.3897/evolsyst.5.62929,IO,British Indian Ocean Territory,GS
8,CAUC,,,ZooKeys,10.3897/zookeys.808.29433;10.3897/zookeys.725.21267;10.3897/zookeys.520.9558,,,
8,LMK,,,ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/zookeys.800.26292;10.3897/dez.63.7556;10.3897/zookeys.963.54842,,,
8,MMBC,Moravske Muzeum [Moravian Museum],,ZooKeys,10.3897/zookeys.796.22517;10.3897/zookeys.796.24540,CZ,Czechia,GN
8,PPRI,"ARC-Plant Protection Research Institute, National Collection of Fungi: Culture Collection",,ZooKeys,10.3897/zookeys.796.21429,ZA,South Africa,GS
8,UNSW,John T. Waterhouse Herbarium,,ZooKeys,10.3897/zookeys.796.21429,AU,Australia,GN
8,TAMU-ENTO,,,Journal of Hymenoptera Research,10.3897/jhr.54.10457,,,
8,NMK,National Museums of Kenya,MUSEUM,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.61.21015;10.3897/zookeys.725.15059;10.3897/zookeys.963.53470,KE,Kenya,GS
